"StageName","StageType","Result","Resource Start","Direction","Name","Field","Row","Type","Value"
,"Undefined","Created session log","5/3/2024 2:26:06 PM"
"Start","Start",,"5/3/2024 2:26:06 PM"
"Populate City ","Sub Sheet",,"5/3/2024 2:26:06 PM"
"Start","Start",,"5/3/2024 2:26:06 PM"
"Get Files","Action",,"5/3/2024 2:26:06 PM"

,,,,IN,"Folder",,,"Text","E:\Documents\BluePrism\Weather API\Input\"
,,,,IN,"Patterns CSV",,,"Text","*.xls*"
,,,,OUT,"Success",,,"Flag","True"
,,,,OUT,"Message",,,"Text",""
,,,,OUT,"Files",,,,
,,,,OUT,"Files","Path","1","Text","E:\Documents\BluePrism\Weather API\Input\Input City Names.XLSX"
,,,,OUT,"Files","Folder","1","Text","E:\Documents\BluePrism\Weather API\Input"
,,,,OUT,"Files","Name","1","Text","Input City Names.XLSX"
,,,,OUT,"Files","Extension","1","Text",".XLSX"
,,,,OUT,"Files","Created","1","DateTime","2024-05-03 11:07:55Z"
,,,,OUT,"Files","Last Accessed","1","DateTime","2024-05-03 13:25:05Z"
,,,,OUT,"Files","Last Written","1","DateTime","2024-05-03 12:10:53Z"
,,,,OUT,"Files","Read Only","1","Flag","False"
,,,,OUT,"Files","Bytes","1","Number","8890"
"Success?","Decision","True","5/3/2024 2:26:11 PM"
"Count Rows","Action",,"5/3/2024 2:26:11 PM"

,,,,IN,"Collection Name",,,"Text","Files"
,,,,OUT,"Count",,,"Number","1"
"Files >0","Decision","True","5/3/2024 2:26:11 PM"
"Kill Excel","Action",,"5/3/2024 2:26:11 PM"

,,,,IN,"Process Name",,,"Text","EXCEL"
"Create Excel Instance","Action",,"5/3/2024 2:26:16 PM"

,,,,IN,"Enable Events",,,"Flag","False"
,,,,OUT,"handle",,,"Number","1"
"Files","Loop Start","1 of 1","5/3/2024 2:26:24 PM"
"Open File","Action",,"5/3/2024 2:26:24 PM"

,,,,IN,"handle",,,"Number","1"
,,,,IN,"File name",,,"Text","E:\Documents\BluePrism\Weather API\Input\Input City Names.XLSX"
,,,,OUT,"Workbook Name",,,"Text","Input City Names.XLSX"
"Read File","Action",,"5/3/2024 2:26:26 PM"

,,,,IN,"handle",,,"Number","1"
,,,,IN,"Workbook Name",,,"Text","Input City Names.XLSX"
,,,,OUT,"Data",,,,
,,,,OUT,"Data","City","1","Text","New York"
,,,,OUT,"Data","Units","1","Text","Imperial"
,,,,OUT,"Data","City","2","Text","London"
,,,,OUT,"Data","Units","2","Text","Metric"
,,,,OUT,"Data","City","3","Text","Paris"
,,,,OUT,"Data","Units","3","Text",""
,,,,OUT,"Data","City","4","Text","Tokyo"
,,,,OUT,"Data","Units","4","Text","Metric"
,,,,OUT,"Data","City","5","Text","Sydney"
,,,,OUT,"Data","Units","5","Text","Metric"
,,,,OUT,"Data","City","6","Text","Rome"
,,,,OUT,"Data","Units","6","Text","Metric"
,,,,OUT,"Data","City","7","Text","Shanghai"
,,,,OUT,"Data","Units","7","Text",""
,,,,OUT,"Data","City","8","Text","Dubai"
,,,,OUT,"Data","Units","8","Text",""
,,,,OUT,"Data","City","9","Text","Toronto"
,,,,OUT,"Data","Units","9","Text","Imperial"
,,,,OUT,"Data","City","10","Text","Rio de Janeiro"
,,,,OUT,"Data","Units","10","Text","Imperial"
,,,,OUT,"Data","City","11","Text","Berlin"
,,,,OUT,"Data","Units","11","Text","Imperial"
,,,,OUT,"Data","City","12","Text","Cairo"
,,,,OUT,"Data","Units","12","Text","Imperial"
,,,,OUT,"Data","City","13","Text","Mexico City"
,,,,OUT,"Data","Units","13","Text","Metric"
,,,,OUT,"Data","City","14","Text","Singapore"
,,,,OUT,"Data","Units","14","Text","Imperial"
,,,,OUT,"Data","City","15","Text","Kyiv"
,,,,OUT,"Data","Units","15","Text","Metric"
"Close Workbook","Action",,"5/3/2024 2:26:26 PM"

,,,,IN,"handle",,,"Number","1"
"File Data","Loop Start","1 of 15","5/3/2024 2:26:27 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:27 PM"

,,,,OUT,"step1",,,"Text","New York03 May, 2024"
,,,,OUT,"step2",,,"Text","New York"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text","Imperial"
"Is Item in queue already?","Action",,"5/3/2024 2:26:27 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","New York03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:27 PM"
"Add To Queue","Action",,"5/3/2024 2:26:27 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","New York"
,,,,IN,"Data","City ID","1","Text","New York03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text","Imperial"
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","c9c87ae2-a1e0-4f6c-9f89-5a45e40fee4c"
"File Data","Loop End","1 of 15","5/3/2024 2:26:27 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:27 PM"

,,,,OUT,"step1",,,"Text","London03 May, 2024"
,,,,OUT,"step2",,,"Text","London"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text","Metric"
"Is Item in queue already?","Action",,"5/3/2024 2:26:27 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","London03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:27 PM"
"Add To Queue","Action",,"5/3/2024 2:26:27 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","London"
,,,,IN,"Data","City ID","1","Text","London03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text","Metric"
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","1d5afefe-7495-4a0b-b48d-d89b673e4124"
"File Data","Loop End","2 of 15","5/3/2024 2:26:27 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:27 PM"

,,,,OUT,"step1",,,"Text","Paris03 May, 2024"
,,,,OUT,"step2",,,"Text","Paris"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text",""
"Is Item in queue already?","Action",,"5/3/2024 2:26:27 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","Paris03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:27 PM"
"Add To Queue","Action",,"5/3/2024 2:26:27 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","Paris"
,,,,IN,"Data","City ID","1","Text","Paris03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text",""
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","a2634ead-b243-48fa-aae8-e4f405047b5e"
"File Data","Loop End","3 of 15","5/3/2024 2:26:27 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:27 PM"

,,,,OUT,"step1",,,"Text","Tokyo03 May, 2024"
,,,,OUT,"step2",,,"Text","Tokyo"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text","Metric"
"Is Item in queue already?","Action",,"5/3/2024 2:26:27 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","Tokyo03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:27 PM"
"Add To Queue","Action",,"5/3/2024 2:26:27 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","Tokyo"
,,,,IN,"Data","City ID","1","Text","Tokyo03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text","Metric"
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","c0f67f42-8c34-49fc-9e44-6b0187bd4534"
"File Data","Loop End","4 of 15","5/3/2024 2:26:27 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:27 PM"

,,,,OUT,"step1",,,"Text","Sydney03 May, 2024"
,,,,OUT,"step2",,,"Text","Sydney"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text","Metric"
"Is Item in queue already?","Action",,"5/3/2024 2:26:27 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","Sydney03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:27 PM"
"Add To Queue","Action",,"5/3/2024 2:26:27 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","Sydney"
,,,,IN,"Data","City ID","1","Text","Sydney03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text","Metric"
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","6c0574c5-3ac4-4719-abc5-07e53de60d36"
"File Data","Loop End","5 of 15","5/3/2024 2:26:27 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:27 PM"

,,,,OUT,"step1",,,"Text","Rome03 May, 2024"
,,,,OUT,"step2",,,"Text","Rome"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text","Metric"
"Is Item in queue already?","Action",,"5/3/2024 2:26:27 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","Rome03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:27 PM"
"Add To Queue","Action",,"5/3/2024 2:26:27 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","Rome"
,,,,IN,"Data","City ID","1","Text","Rome03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text","Metric"
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","0fdb8871-f613-46de-92d0-1b5c56d42bc0"
"File Data","Loop End","6 of 15","5/3/2024 2:26:28 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:28 PM"

,,,,OUT,"step1",,,"Text","Shanghai03 May, 2024"
,,,,OUT,"step2",,,"Text","Shanghai"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text",""
"Is Item in queue already?","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","Shanghai03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:28 PM"
"Add To Queue","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","Shanghai"
,,,,IN,"Data","City ID","1","Text","Shanghai03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text",""
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","3c3187ac-d273-4497-935e-0a2da7ecc1b2"
"File Data","Loop End","7 of 15","5/3/2024 2:26:28 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:28 PM"

,,,,OUT,"step1",,,"Text","Dubai03 May, 2024"
,,,,OUT,"step2",,,"Text","Dubai"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text",""
"Is Item in queue already?","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","Dubai03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:28 PM"
"Add To Queue","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","Dubai"
,,,,IN,"Data","City ID","1","Text","Dubai03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text",""
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","b983a57e-6db4-4d22-8467-f35d9ae98df1"
"File Data","Loop End","8 of 15","5/3/2024 2:26:28 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:28 PM"

,,,,OUT,"step1",,,"Text","Toronto03 May, 2024"
,,,,OUT,"step2",,,"Text","Toronto"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text","Imperial"
"Is Item in queue already?","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","Toronto03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:28 PM"
"Add To Queue","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","Toronto"
,,,,IN,"Data","City ID","1","Text","Toronto03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text","Imperial"
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","efe794d1-c10c-400f-9bb2-5c37464bb4b8"
"File Data","Loop End","9 of 15","5/3/2024 2:26:28 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:28 PM"

,,,,OUT,"step1",,,"Text","Rio de Janeiro03 May, 2024"
,,,,OUT,"step2",,,"Text","Rio de Janeiro"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text","Imperial"
"Is Item in queue already?","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","Rio de Janeiro03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:28 PM"
"Add To Queue","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","Rio de Janeiro"
,,,,IN,"Data","City ID","1","Text","Rio de Janeiro03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text","Imperial"
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","5b8b9f10-8b66-474a-82dc-dd89fd885d1c"
"File Data","Loop End","10 of 15","5/3/2024 2:26:28 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:28 PM"

,,,,OUT,"step1",,,"Text","Berlin03 May, 2024"
,,,,OUT,"step2",,,"Text","Berlin"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text","Imperial"
"Is Item in queue already?","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","Berlin03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:28 PM"
"Add To Queue","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","Berlin"
,,,,IN,"Data","City ID","1","Text","Berlin03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text","Imperial"
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","7f49464e-50c7-4ba9-aa49-8bfae5f5130a"
"File Data","Loop End","11 of 15","5/3/2024 2:26:28 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:28 PM"

,,,,OUT,"step1",,,"Text","Cairo03 May, 2024"
,,,,OUT,"step2",,,"Text","Cairo"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text","Imperial"
"Is Item in queue already?","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","Cairo03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:28 PM"
"Add To Queue","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","Cairo"
,,,,IN,"Data","City ID","1","Text","Cairo03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text","Imperial"
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","f40f6b09-9332-4258-bb63-2c437ed7e95c"
"File Data","Loop End","12 of 15","5/3/2024 2:26:28 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:28 PM"

,,,,OUT,"step1",,,"Text","Mexico City03 May, 2024"
,,,,OUT,"step2",,,"Text","Mexico City"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text","Metric"
"Is Item in queue already?","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","Mexico City03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:28 PM"
"Add To Queue","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","Mexico City"
,,,,IN,"Data","City ID","1","Text","Mexico City03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text","Metric"
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","d569d83c-3b0f-498d-8f98-15d2e2673d7b"
"File Data","Loop End","13 of 15","5/3/2024 2:26:28 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:28 PM"

,,,,OUT,"step1",,,"Text","Singapore03 May, 2024"
,,,,OUT,"step2",,,"Text","Singapore"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text","Imperial"
"Is Item in queue already?","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","Singapore03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:28 PM"
"Add To Queue","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","Singapore"
,,,,IN,"Data","City ID","1","Text","Singapore03 May, 2024"
